,addr,scp,car_sum
698,[ 6 89],3.2251602086025732,2.0
701,[94  0],5.749785326644371,3.0
703,[71 31],5.143628487824546,4.0
705,[62 28],6.637938242774148,4.0
706,[39 36],11.065797650436647,8.0
707,[85  3],5.372520122117687,4.0
709,[68 63],3.8572030063367726,3.0
710,[80 28],5.401105782026947,4.0
711,[41 73],6.79688673664153,5.0
712,[24 91],6.7046142425836575,4.0
713,[23 55],5.0352523867546966,4.0
714,[16 48],5.7540009562370695,4.0
715,[96 89],3.6392442839209025,4.0
716,[70 46],8.864797375475417,6.0
717,[70 17],7.109862624434195,5.0
718,[21 34],7.999914440681955,5.0
720,[62  5],5.6581919723754535,4.0
721,[71  5],5.2282646540226185,4.0
722,[79  1],8.297926968850863,6.0
726,[84 30],11.57194444532326,6.0
727,[ 1 17],14.997653364805986,9.0
729,[77 19],3.368407317310755,2.0
731,[21 83],4.858267583000062,4.0
732,[38 30],9.600012507066777,6.0
733,[69 10],6.856122647632765,5.0
734,[ 0 60],4.486463614052033,3.0
735,[61 72],5.603218688520035,3.0
736,[43 65],10.531512332194108,6.0
737,[85 60],10.986675606115687,6.0
738,[77  7],3.6279649912210044,3.0
739,[46 66],9.060188328320333,6.0
740,[46 65],8.602634182134228,6.0
741,[52 87],4.968364450859188,3.0
742,[93 25],13.522523394699764,8.0
744,[21 62],4.285169372737259,4.0
745,[84 17],6.299798187077009,4.0
746,[76 25],4.185544706655865,3.0
749,[24 15],6.0247127807237515,4.0
750,[87 57],7.341186619768245,5.0
753,[75  9],3.464914534723378,2.0
754,[99  4],3.2912513655257616,2.0
755,[44 82],4.513453806422849,3.0
759,[37 77],14.327451658137655,9.0
760,[18 79],3.8199550694071003,3.0
762,[81 24],5.46647825742277,4.0
763,[62 17],19.652971365787653,12.0
764,[ 0 29],5.862709422838643,3.0
765,[ 2 55],6.660818828301404,4.0
766,[ 2 49],6.364374749089534,4.0
769,[70 13],3.330754596681595,3.0
770,[ 9 79],8.154243643289718,6.0
771,[90 73],3.74288047496006,2.0
772,[36 50],9.640889804476046,8.0
773,[12 54],6.46167295723599,4.0
774,[18 50],5.496922792300008,5.0
778,[10 75],20.463591253096595,12.0
779,[35 98],7.0314803381129405,4.0
781,[31 32],4.09204169394547,3.0
782,[17 49],5.285622882638759,3.0
785,[58 99],3.2901713977163283,2.0
787,[3 2],5.900722058008107,4.0
789,[38 85],3.00676498797359,2.0
790,[39 82],6.370466169734422,4.0
791,[64 59],7.766470397200296,6.0
792,[43 74],5.930525023790004,4.0
793,[64 50],3.215525697048066,2.0
794,[43 39],8.264418170179098,5.0
795,[92 97],6.259636747539446,4.0
796,[17 51],4.20968597552816,2.0
797,[96 14],13.734944618002684,9.0
798,[61 13],10.888311226673709,8.0
799,[16 86],6.8362882247110495,5.0
800,[22 43],8.914407593228983,6.0
801,[85  0],5.801907235784434,4.0
803,[71 15],3.073128814466158,2.0
